datetime,se1_unspecified_generation,se2_unspecified_generation,se3_unspecified_generation,se4_unspecified_generation,se1_hydro_generation,se2_hydro_generation,se3_hydro_generation,se4_hydro_generation,se1_wind_generation,se2_wind_generation,se3_wind_generation,se4_wind_generation,se3_nuclear_generation,se1_thermal_generation,se2_thermal_generation,se3_thermal_generation,se4_thermal_generation,se1_solar_generation,se2_solar_generation,se3_solar_generation,se4_solar_generation,se1_energy_storage_generation,se2_energy_storage_generation,se3_energy_storage_generation,se4_energy_storage_generation,se1_wind_onshore,se2_wind_onshore,se3_wind_onshore,se4_wind_onshore,se1_wind_offshore,se2_wind_offshore,se3_wind_offshore,se4_wind_offshore
2024-06-03 22:00:00,0.007410000000000001,0.3995350000000001,22.516505,0.7296660000000001,939.9433999999998,3322.9397220000014,812.5145020000006,104.12476000000001,1378.4480600000006,2240.615174000002,2141.3742059999972,1129.7599750000006,5537.740000000001,2.99737,80.03432,177.38103700000002,72.90906000000001,0.006562000000000001,0.08914100000000004,1.2217869999999897,0.5435520000000004,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 23:00:00,0.06005,0.4030289999999999,23.329852,0.5927249999999998,900.9186610000002,3143.574264000001,842.0733600000001,45.86806999999999,1281.8455789999998,2139.2683349999975,2080.5372110000026,1113.8403499999974,5539.3099999999995,3.15923,77.59535000000001,180.98049999999998,73.598481,0.0056479999999999985,0.060681000000000006,0.9102169999999857,0.4037980000000008,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-04 00:00:00,0.068331,0.5223040000000001,20.739081,1.112651,901.3236719999998,3130.9952159999993,847.5517649999997,43.44237000000001,848.4928310000003,1919.144997999997,1876.304401999999,1090.4642610000008,5542.1900000000005,3.18997,77.27470000000001,191.7118410000001,73.66783500000001,0.0056949999999999995,0.07187299999999996,1.141076999999997,0.37368900000000105,0.0,0.0,0.002,0.0,,,,,,,,
2024-06-04 01:00:00,0.36961,0.46027399999999996,22.309954,0.6509399999999999,934.476378,3009.9578869999987,818.5427140000002,42.61285600000001,727.6329019999997,1806.6165770000005,1865.1432350000007,1056.5735149999996,5545.639999999999,2.9807699999999997,78.63431,187.58925500000007,73.64275299999998,0.007712,0.066563,0.7913080000000055,0.33522600000000047,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-04 02:00:00,0.010331,0.419056,24.924127000000002,0.6069739999999999,984.9487290000002,3109.0590689999985,826.6112520000001,42.678256,582.3189519999996,1788.4874479999999,1769.6218019999974,911.3706299999997,5547.3099999999995,3.03261,78.86393,184.977577,76.980008,0.026302999999999993,0.08893199999999998,0.8184750000000001,0.31016400000000094,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-04 03:00:00,0.0021509999999999997,0.4158630000000001,25.459722999999997,0.586142,989.5617229999998,3170.6132139999977,831.833603,45.71755600000001,612.1399640000005,1573.9301220000002,1654.5796880000019,874.5712769999997,5551.06,2.74557,75.52324000000003,200.57204299999998,82.610358,0.14766699999999983,0.7305819999999985,4.749455999999983,1.0765239999999971,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-04 04:00:00,0.008559,0.40200800000000025,24.35390400000001,0.5906580000000002,1223.680841,3597.3171800000005,841.9907279999996,47.28525399999999,590.0734629999996,1240.4493440000006,1470.1454469999999,699.2195679999971,5558.150000000001,3.60263,75.69457,205.70283300000003,103.79875899999999,0.6555590000000001,3.699761999999999,42.645010999999826,17.77513799999996,0.0,0.0,0.002,0.0,,,,,,,,
2024-06-04 05:00:00,0.02003,0.6112369999999998,16.300852000000003,0.9711189999999998,1725.5438580000002,4330.1830340000015,876.7632359999997,47.774020999999976,457.79814299999947,800.4185710000002,1167.7838690000005,508.1868000000002,5561.23,3.07084,76.87791999999999,187.12677900000006,157.227685,1.8758020000000006,10.096929000000006,154.5949500000002,68.47315499999996,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-04 06:00:00,0.052674000000000006,0.928051,16.571221,1.4703670000000002,2621.5844389999997,4750.562078,895.5063440000002,51.66990799999999,335.62013199999996,539.8805269999999,1043.038438999999,515.2940109999993,5563.04,2.9217,79.97479,196.09696799999998,156.639105,3.3595459999999995,21.78268800000002,370.14016899999956,160.56311899999997,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-04 07:00:00,0.07037700000000001,1.4427809999999994,14.208852,2.4892819999999993,2701.0454189999996,4818.884953999998,912.0276840000006,55.18247400000001,289.66602399999977,358.4058359999999,1015.7269899999998,392.49252999999993,5567.91,2.98356,81.05601600000001,204.24005300000005,134.880067,6.273788999999998,39.994243000000004,671.5782810000003,297.2460359999999,0.0,0.0,0.0,0.0,,,,,,,,
