datetime,se1_profiled_supply_losses,se2_profiled_supply_losses,se3_profiled_supply_losses,se4_profiled_supply_losses,se1_metered_losses,se2_metered_losses,se3_metered_losses,se4_metered_losses
2018-01-10 07:00:00,-30.881203,-68.567501,-422.709275,-116.374099,,,,
2018-01-10 08:00:00,-30.788108,-68.500054,-418.796535,-116.164946,,,,
2018-01-10 09:00:00,-30.435877,-67.922454,-410.171709,-114.56684,,,,
2018-01-10 10:00:00,-30.485577,-67.629591,-408.037956,-115.203474,,,,
2018-01-10 11:00:00,-30.553157,-66.584291,-402.921813,-116.009736,,,,
2018-01-10 12:00:00,-30.532495,-65.5886,-397.68469,-115.718442,,,,
2018-01-10 13:00:00,-30.600951,-65.020611,-393.501653,-114.373698,,,,
2018-01-10 14:00:00,-31.682396,-66.617846,-395.320374,-114.669752,,,,
2018-01-10 15:00:00,-33.862931,-71.166273,-413.165998,-119.272937,,,,
2018-01-10 16:00:00,-35.757914,-75.750048,-445.143593,-129.839798,,,,
2018-01-10 17:00:00,-36.315636,-77.48369,-466.53278,-136.518205,,,,
2018-01-10 18:00:00,-35.743978,-76.461573,-465.820509,-135.165425,,,,
2018-01-10 19:00:00,-35.432463,-75.376654,-452.321389,-131.000232,,,,
2018-01-10 20:00:00,-34.804132,-74.180145,-432.897786,-125.00006,,,,
2018-01-10 21:00:00,-33.733495,-72.554407,-408.873487,-117.718261,,,,
2018-01-10 22:00:00,-32.280745,-70.246613,-378.889412,-108.435861,,,,
2018-01-10 23:00:00,-30.686901,-67.865327,-345.962976,-99.196636,,,,
2018-01-11 00:00:00,-29.971665,-66.722062,-326.742324,-94.060743,,,,
2018-01-11 01:00:00,-29.687602,-66.512505,-318.3898,-91.630264,,,,
2018-01-11 02:00:00,-29.686183,-66.949568,-316.209583,-90.954681,,,,
2018-01-11 03:00:00,-30.083654,-68.019789,-317.076565,-91.01266,,,,
2018-01-11 04:00:00,-31.230957,-69.892967,-321.737631,-91.830979,,,,
2018-01-11 05:00:00,-32.444842,-72.812662,-338.444339,-95.936381,,,,
2018-01-11 06:00:00,-33.855238,-76.157892,-366.983006,-105.105586,,,,
2018-01-11 07:00:00,-34.401769,-77.629946,-387.591382,-112.277882,,,,
2018-01-11 08:00:00,-34.070533,-77.085377,-383.077687,-112.34754,,,,
2018-01-11 09:00:00,-33.833729,-76.062186,-375.713409,-110.776168,,,,
2018-01-11 10:00:00,-33.687437,-75.694448,-375.573192,-111.490107,,,,
2018-01-11 11:00:00,-33.719025,-74.940632,-377.494336,-110.908559,,,,
2018-01-11 12:00:00,-33.714944,-74.252526,-376.217443,-111.149567,,,,
2018-01-11 13:00:00,-33.754162,-73.560084,-372.951307,-110.899646,,,,
2018-01-11 14:00:00,-34.944475,-74.094566,-374.494211,-111.536643,,,,
2018-01-11 15:00:00,-36.625907,-77.609606,-391.193908,-116.061236,,,,
2018-01-11 16:00:00,-38.30103,-81.206578,-421.499325,-128.734974,,,,
2018-01-11 17:00:00,-38.756764,-82.271087,-443.810343,-137.693593,,,,
2018-01-11 18:00:00,-38.111601,-80.842513,-444.931724,-137.216302,,,,
2018-01-11 19:00:00,-37.756679,-79.279099,-437.528746,-133.966728,,,,
2018-01-11 20:00:00,-37.039255,-77.468578,-419.629591,-128.584637,,,,
2018-01-11 21:00:00,-36.144494,-75.241564,-397.673422,-122.022223,,,,
2018-01-11 22:00:00,-34.937741,-72.655977,-367.086309,-113.56666,,,,
2018-01-11 23:00:00,-33.481299,-69.613159,-337.679731,-104.748723,,,,
2018-01-12 00:00:00,-32.907828,-67.75041,-318.3965,-99.461816,,,,
2018-01-12 01:00:00,-32.737545,-67.039144,-310.51214,-96.934154,,,,
2018-01-12 02:00:00,-33.023541,-67.109446,-308.597463,-96.284437,,,,
2018-01-12 03:00:00,-33.644684,-67.806304,-309.011662,-96.419653,,,,
2018-01-12 04:00:00,-34.540817,-69.333249,-312.150889,-97.389978,,,,
2018-01-12 05:00:00,-35.915779,-71.844411,-325.84202,-101.375183,,,,
2018-01-12 06:00:00,-37.162528,-74.899487,-355.55944,-110.663884,,,,
2018-01-12 07:00:00,-37.675571,-76.496502,-378.470799,-118.347864,,,,
2018-01-12 08:00:00,-37.319067,-76.107086,-376.177111,-118.623412,,,,
2018-01-12 09:00:00,-36.707256,-75.333828,-370.262232,-117.957012,,,,
2018-01-12 10:00:00,-35.974156,-74.967294,-371.21197,-119.247036,,,,
