datetime,se1_metered_consumption_excluding_interruptible_load,se2_metered_consumption_excluding_interruptible_load,se3_metered_consumption_excluding_interruptible_load,se4_metered_consumption_excluding_interruptible_load,se1_interruptible_load,se2_interruptible_load,se3_interruptible_load,se4_interruptible_load,se1_profiled_supply_consumption,se2_profiled_supply_consumption,se3_profiled_supply_consumption,se4_profiled_supply_consumption,se1_metered_consumption_over_50mw,se2_metered_consumption_over_50mw,se3_metered_consumption_over_50mw,se4_metered_consumption_over_50mw,se1_energy_storage_consumption,se2_energy_storage_consumption,se3_energy_storage_consumption,se4_energy_storage_consumption
2018-01-04 15:00:00,-1108.863937,-1824.505453,-7890.856914,-2046.850055,-22.890749,-7.0163,-36.65697,-1.968,-424.041381,-818.222149,-4885.791646,-1589.808767,,,,,,,,
2018-01-04 16:00:00,-1105.121019,-1790.2736400000001,-7627.116690999999,-1934.9436799999996,-18.201315,-6.1066,-38.722082,-1.938,-436.451271,-851.104958,-5162.165965,-1731.982192,,,,,,,,
2018-01-04 17:00:00,-1089.879695,-1739.3112099999998,-7411.771292,-1859.7194319999999,-16.719764,-6.064,-35.069654,-2.196,-439.749196,-858.082654,-5367.831031,-1809.136962,,,,,,,,
2018-01-04 18:00:00,-1063.6341570000002,-1695.590149,-7181.260271,-1806.3432780000003,-14.767161,-6.115,-32.529402,-2.124,-430.312721,-837.934311,-5360.321402,-1793.258989,,,,,,,,
2018-01-04 19:00:00,-1048.4308649999998,-1672.1557970000001,-6989.601023000001,-1762.6825949999998,-11.560641,-6.40245,-30.823938,-2.09,-420.708076,-815.803266,-5220.002386,-1740.449119,,,,,,,,
2018-01-04 20:00:00,-997.4936240000001,-1631.4745179999998,-6777.917119,-1700.0139310000002,-17.076307,-6.61695,-33.753938,-2.079,-410.266451,-789.160626,-4980.425839,-1668.581352,,,,,,,,
2018-01-04 21:00:00,-976.8818709999999,-1559.8378430000002,-6454.53572,-1610.819386,-13.87464,-6.3614,-31.836838,-1.964,-396.653872,-761.631626,-4738.374638,-1579.108823,,,,,,,,
2018-01-04 22:00:00,-948.4797329999999,-1508.2365540000003,-6259.537232000001,-1552.8560790000001,-15.648576,-5.97115,-33.588052,-2.131,-381.779845,-729.200551,-4438.289317,-1480.232429,,,,,,,,
2018-01-04 23:00:00,-921.93134,-1404.5261759999999,-6067.2458000000015,-1450.968015,-14.34332,-5.6249,-36.289774,-2.027,-363.978959,-689.636788,-4100.28338,-1370.070282,,,,,,,,
2018-01-05 00:00:00,-892.126235,-1338.1024740000005,-5892.071512000001,-1368.601929,-12.57782,-4.62035,-35.528678,-2.125,-351.70357,-659.603694,-3831.430308,-1297.875286,,,,,,,,
2018-01-05 01:00:00,-893.0850780000001,-1338.900344,-5751.827883,-1345.7392969999999,-9.641102,-4.632,-37.204622,-2.006,-341.273357,-638.832194,-3642.841975,-1244.299813,,,,,,,,
2018-01-05 02:00:00,-867.6851440000002,-1338.719497,-5733.976038,-1344.921854,-17.706379,-4.8146,-34.01263,-1.831,-337.867409,-632.154913,-3622.121103,-1228.387974,,,,,,,,
2018-01-05 03:00:00,-873.6295020000001,-1354.3201190000002,-5674.305944000001,-1368.7016560000002,-8.936697,-4.7231,-32.692598,-1.819,-339.024938,-635.806139,-3595.293577,-1226.539787,,,,,,,,
2018-01-05 04:00:00,-871.2914939999998,-1377.761139,-5757.182633000001,-1395.1987570000003,-3.621114,-5.26655,-31.494666,-2.097,-344.012465,-648.490154,-3647.846388,-1235.384881,,,,,,,,
2018-01-05 05:00:00,-883.1956260000001,-1404.907322,-5990.544255999999,-1464.114643,-10.181087,-5.4546,-33.14427,-2.13,-351.869438,-671.454471,-3767.20534,-1277.02785,,,,,,,,
2018-01-05 06:00:00,-953.720059,-1514.314001,-6631.162504999999,-1694.091347,-4.110166,-5.6344,-35.64635,-1.951,-358.861227,-699.11875,-3993.098726,-1355.94414,,,,,,,,
2018-01-05 07:00:00,-1015.5253470000001,-1677.5181989999999,-7344.508137999999,-1955.140111,-5.098762,-6.4578,-33.600102,-1.919,-364.289128,-722.391994,-4224.89206,-1439.017113,,,,,,,,
2018-01-05 08:00:00,-1045.148815,-1733.845997,-7544.094383000001,-2036.428196,-3.265588,-6.8375,-36.339534,-1.987,-369.939511,-743.557042,-4411.696083,-1493.297988,,,,,,,,
2018-01-05 09:00:00,-1067.171353,-1821.12612,-7607.793822,-2017.9663449999996,-3.264265,-6.1655,-34.60565,-2.011,-372.588492,-750.747718,-4509.107416,-1524.494562,,,,,,,,
2018-01-05 10:00:00,-1079.584575,-1836.947498,-7744.534252,-2074.708382,-3.663249,-6.4768,-38.10145,-2.105,-375.47271,-760.740393,-4639.917299,-1560.984487,,,,,,,,
