datetime,se3_metered_consumption_excluding_interruptible_load,se3_interruptible_load,se3_profiled_supply_consumption,se3_metered_consumption_over_50mw,se3_energy_storage_consumption
2020-12-31 21:00:00,-4443.7501770000035,-54.172258,-4255.767359,-638.131756,
2020-12-31 22:00:00,-4356.736711999992,-53.949514,-4070.646011,-634.399025,
2020-12-31 23:00:00,-4263.999403999989,-53.426582,-3918.06101,-635.2057229999999,
2021-01-01 00:00:00,-4232.448868000009,-79.354238,-3795.691634,-588.4759620000001,
2021-01-01 01:00:00,-4222.276545000016,-82.266234,-3647.85991,-587.852744,
2021-01-01 02:00:00,-4227.138128000008,-82.63573399999999,-3527.841138,-570.800748,
2021-01-01 03:00:00,-4211.540578,-81.28969000000001,-3441.972234,-562.3626609999999,
2021-01-01 04:00:00,-4247.722087,-82.384442,-3403.34979,-560.135292,
2021-01-01 05:00:00,-4335.862110000006,-82.477696,-3424.078277,-566.8647510000001,
2021-01-01 06:00:00,-4493.522225,-84.57553000000001,-3492.168708,-572.868044,
2021-01-01 07:00:00,-4627.652109000014,-84.93197799999999,-3563.982783,-583.1882959999999,
2021-01-01 08:00:00,-4709.787278000003,-84.945962,-3667.808525,-584.862786,
2021-01-01 09:00:00,-4718.250949000007,-84.43577400000001,-3810.638694,-591.0251020000001,
2021-01-01 10:00:00,-4752.389249999991,-84.14118599999999,-4038.263047,-572.609692,
2021-01-01 11:00:00,-4817.994750000002,-83.20880199999999,-4221.593485,-589.537365,
2021-01-01 12:00:00,-4838.348089999997,-84.46188199999999,-4315.139901,-581.387837,
2021-01-01 13:00:00,-4883.012386000005,-82.934186,-4375.387166,-597.741703,
2021-01-01 14:00:00,-4966.61048900002,-83.064726,-4458.609423,-585.8730129999999,
2021-01-01 15:00:00,-5097.779032000006,-84.38177000000002,-4648.813834,-576.3527909999999,
2021-01-01 16:00:00,-5098.405871000002,-83.928018,-4843.152004,-541.728654,
2021-01-01 17:00:00,-5071.894830999995,-84.27077,-4914.009536,-554.6708189999999,
2021-01-01 18:00:00,-4966.497398000007,-85.003946,-4879.003329,-585.239418,
2021-01-01 19:00:00,-4859.961150000009,-85.74052999999999,-4726.001168,-598.619347,
2021-01-01 20:00:00,-4757.031078000012,-85.505038,-4502.780791,-602.65122,
2021-01-01 21:00:00,-4630.862539999993,-87.03867,-4310.694038,-596.912289,
2021-01-01 22:00:00,-4499.643333999996,-85.763974,-4117.192281,-600.3935210000001,
2021-01-01 23:00:00,-4396.735555000003,-85.942982,-3881.930076,-603.781582,
2021-01-02 00:00:00,-4312.002896000005,-88.426414,-3668.655885,-603.2111620000001,
2021-01-02 01:00:00,-4247.410214000015,-84.16073399999999,-3529.103802,-588.668195,
2021-01-02 02:00:00,-4231.459804,-84.87972599999999,-3456.518314,-568.575527,
2021-01-02 03:00:00,-4221.108445999996,-83.836406,-3430.155595,-573.28238,
2021-01-02 04:00:00,-4229.031532000007,-82.076746,-3445.044499,-575.490026,
2021-01-02 05:00:00,-4285.761644999999,-82.078866,-3487.650025,-575.818042,
2021-01-02 06:00:00,-4407.600004999996,-83.300828,-3563.77214,-580.370696,
2021-01-02 07:00:00,-4585.224796000027,-81.963838,-3695.8897,-576.995983,
2021-01-02 08:00:00,-4730.683036000022,-83.48325399999999,-3901.364721,-577.2282789999999,
2021-01-02 09:00:00,-4812.2132140000085,-82.214354,-4121.118523,-586.08402,
2021-01-02 10:00:00,-4974.843958000006,-82.17933400000001,-4346.543095,-583.321614,
2021-01-02 11:00:00,-5020.524780000004,-83.39738200000001,-4490.95924,-590.2811999999999,
2021-01-02 12:00:00,-5019.008124000001,-83.404238,-4558.952768,-576.905871,
2021-01-02 13:00:00,-5025.566429000037,-82.58213,-4573.697664,-580.6111189999999,
2021-01-02 14:00:00,-5066.188908000008,-83.61201000000001,-4605.163224,-585.7153229999999,
2021-01-02 15:00:00,-5164.941865000022,-84.037462,-4812.73111,-584.826854,
2021-01-02 16:00:00,-5208.931090999995,-83.38507800000001,-5060.414934,-590.7899649999999,
2021-01-02 17:00:00,-5162.846715000011,-83.295174,-5181.783904,-589.863399,
2021-01-02 18:00:00,-5047.902246000004,-82.77994600000001,-5153.821406,-584.072017,
2021-01-02 19:00:00,-4957.199108000004,-83.381498,-4947.285774,-585.1625730000001,
2021-01-02 20:00:00,-4882.3597299999965,-83.30613,-4682.355974,-587.553649,
2021-01-02 21:00:00,-4728.759323000015,-83.644082,-4453.96637,-588.974806,
2021-01-02 22:00:00,-4590.631402000007,-86.94813800000001,-4243.945908,-604.406371,
2021-01-02 23:00:00,-4517.068215999999,-83.207066,-4015.090765,-609.564621,
2021-01-03 00:00:00,-4466.087272000026,-82.95577399999999,-3811.257012,-616.438341,
2021-01-03 01:00:00,-4394.498035000009,-82.46427,-3664.220104,-608.326121,
2021-01-03 02:00:00,-4351.943565000017,-83.40975,-3588.071399,-610.895132,
2021-01-03 03:00:00,-4377.939215000011,-85.36975799999999,-3558.986083,-603.269771,
2021-01-03 04:00:00,-4387.671586000014,-83.00678599999999,-3575.044491,-618.227365,
2021-01-03 05:00:00,-4466.450802999996,-81.665352,-3634.869806,-628.662349,
2021-01-03 06:00:00,-4584.0621650000085,-82.319538,-3711.965181,-633.348812,
2021-01-03 07:00:00,-4764.404159000007,-83.012886,-3854.913385,-624.0394610000001,
2021-01-03 08:00:00,-4879.013794000002,-85.10601,-4061.488602,-624.625927,
2021-01-03 09:00:00,-4986.279278999996,-87.47581799999999,-4292.993397,-624.665849,
2021-01-03 10:00:00,-5078.703839000014,-87.64533800000001,-4527.299068,-620.632741,
2021-01-03 11:00:00,-5202.464119000019,-88.75475800000001,-4670.855516,-605.33537,
2021-01-03 12:00:00,-5231.030934000019,-87.837334,-4745.048744,-602.868685,
2021-01-03 13:00:00,-5322.733551000015,-87.81224999999999,-4780.499364,-596.678122,
2021-01-03 14:00:00,-5356.865861000008,-88.24650600000001,-4863.048191,-606.841551,
2021-01-03 15:00:00,-5479.295389000013,-88.295354,-5091.576705,-606.1092269999999,
2021-01-03 16:00:00,-5553.76312400001,-88.193438,-5385.456164,-633.16453,
2021-01-03 17:00:00,-5554.714280999998,-90.054754,-5546.390646,-639.257213,
2021-01-03 18:00:00,-5462.663140000011,-89.877654,-5505.043809,-640.606708,
2021-01-03 19:00:00,-5346.986202000007,-91.94435,-5328.787416,-649.2488089999999,
2021-01-03 20:00:00,-5291.82776900002,-90.43553,-5092.962899,-646.082386,
2021-01-03 21:00:00,-5209.465227000002,-90.12655799999999,-4833.915794,-634.423797,
2021-01-03 22:00:00,-5048.7168740000125,-89.89039399999999,-4558.461272,-632.946596,
2021-01-03 23:00:00,-5012.142162000013,-90.257014,-4281.484535,-609.149657,
