datetime,t2m,d2m,u10,v10,ssrd,tp,snowc,day,weekday,month,hour_sin,hour_cos,is_weekend,is_holiday,lag_24,lag_48,lag_168,lag_336,total_consumption
2023-03-29 17:00:00,270.59583,267.8416,-3.8329468,-0.70061874,84648.0,0.0002105385,100.0,29,2,3,-0.9659258262890683,-0.25881904510252063,0,0,-9916.556682000011,-10647.955293999998,-9473.825956999997,-9601.849936999999,-10422.63657700001
2023-03-29 18:00:00,270.38535,267.71564,-3.818222,-1.0644913,3564.0,0.00011074543,100.0,29,2,3,-1.0,-1.8369701987210297e-16,0,0,-10152.269496000008,-10751.745502999993,-9550.888437000012,-9997.90470700001,-10440.148611999994
2023-03-29 19:00:00,270.13678,267.58905,-3.8649902,-1.486824,0.0,4.787743e-05,100.0,29,2,3,-0.9659258262890684,0.2588190451025203,0,0,-10264.251306000007,-10725.631219000003,-9427.785706999995,-10002.570809000012,-10441.647917000002
2023-03-29 20:00:00,269.66315,267.2788,-3.4896545,-1.6988955,0.0,1.7166138e-05,100.0,29,2,3,-0.8660254037844386,0.5000000000000001,0,0,-9965.452383000005,-10397.10461900001,-9058.587550000015,-9734.77626300001,-10078.710865999989
2023-03-29 21:00:00,269.4895,267.1394,-3.2633057,-1.7800293,0.0,8.925796e-06,100.0,29,2,3,-0.7071067811865477,0.7071067811865474,0,0,-9595.597640999997,-9961.415468000001,-8630.392117000005,-9395.239708000008,-9671.023297000002
2023-03-29 22:00:00,269.32758,266.8824,-3.0917664,-1.7076492,0.0,3.8594007e-06,100.0,29,2,3,-0.5000000000000004,0.8660254037844384,0,0,-9156.348972000007,-9516.082986000005,-8213.26364400002,-9005.357727000017,-9293.079087000011
2023-03-29 23:00:00,269.22946,266.66006,-2.919876,-1.6533403,0.0,1.9520521e-06,100.0,29,2,3,-0.25881904510252157,0.9659258262890681,0,0,-9093.235677000004,-9345.724536999995,-7755.957043,-8660.494096000002,-9068.09804400003
2023-03-30 00:00:00,269.03552,266.44904,-2.6876068,-1.7258272,0.0,5.364418e-07,100.0,30,3,3,0.0,1.0,0,0,-9039.657660000003,-9183.342203000013,-7586.694000999995,-8572.743834000004,-8928.737394999996
2023-03-30 01:00:00,268.72278,266.2143,-2.3888855,-1.9269161,0.0,1.0430813e-07,100.0,30,3,3,0.25881904510252074,0.9659258262890683,0,0,-8993.904965000005,-9092.513037000008,-7545.061816999997,-8554.965001000011,-8928.391209000001
2023-03-30 02:00:00,268.4745,265.9562,-2.083374,-2.101509,0.0,1.0430813e-07,100.0,30,3,3,0.49999999999999994,0.8660254037844387,0,0,-9023.111137000009,-9083.387675000016,-7509.749957000004,-8582.558697000004,-8953.120225000006
2023-03-30 03:00:00,268.1291,265.63818,-2.1477966,-2.188531,0.0,1.937151e-07,100.0,30,3,3,0.7071067811865476,0.7071067811865476,0,0,-9138.592783999993,-9199.419064000009,-7473.309670999997,-8600.243518000014,-9125.504370000006
2023-03-30 04:00:00,268.08533,265.437,-2.4937286,-2.0842457,0.0,2.4586916e-07,100.0,30,3,3,0.8660254037844386,0.5000000000000001,0,0,-9479.073195999994,-9607.048160999995,-7467.385804999994,-8796.133119000002,-9544.705703000009
2023-03-30 05:00:00,268.24768,265.431,-2.5333405,-1.7619572,30310.0,5.2154064e-08,100.0,30,3,3,0.9659258262890683,0.25881904510252074,0,0,-10225.694778000008,-10463.211698000001,-7782.583291000011,-9248.498195000018,-10463.198628000016
2023-03-30 06:00:00,268.86115,265.7368,-2.2035217,-1.3094368,321366.0,5.9604645e-08,100.0,30,3,3,1.0,6.123233995736766e-17,0,0,-10908.439606000009,-11145.407530000004,-8544.289814999996,-10049.601814999993,-11182.661523000004
2023-03-30 07:00:00,270.28732,266.91876,-2.1105804,-0.864933,645896.0,1.3932586e-06,100.0,30,3,3,0.9659258262890683,-0.25881904510252063,0,0,-10986.50821700002,-11183.597033999999,-9255.052883999997,-10670.523695000007,-11223.441146000006
2023-03-30 08:00:00,271.52255,266.94342,-2.7774353,-0.48415947,945436.0,2.220273e-06,100.0,30,3,3,0.8660254037844387,-0.4999999999999998,0,0,-10886.87885500003,-11012.250936000002,-9281.920911999996,-10439.400525000008,-10964.877197000022
2023-03-30 09:00:00,272.3725,266.87592,-3.036621,-0.06568718,1286862.0,7.2792172e-06,100.0,30,3,3,0.7071067811865476,-0.7071067811865475,0,0,-10760.570481999994,-10789.782075000005,-9085.661666000013,-10103.671877000002,-10708.149794999996
2023-03-30 10:00:00,272.80914,267.0634,-3.0862732,0.21434593,1486236.0,2.95043e-06,100.0,30,3,3,0.49999999999999994,-0.8660254037844387,0,0,-10655.479926000004,-10598.107177000016,-9006.756406000022,-9834.048283999997,-10498.349210000006
2023-03-30 11:00:00,273.06262,267.35095,-3.0041351,0.37282085,1594030.0,1.7732382e-06,100.0,30,3,3,0.258819045102521,-0.9659258262890682,0,0,-10544.720968000012,-10519.82565900001,-8915.440077000003,-9657.399725000014,-10387.148407
2023-03-30 12:00:00,273.2,267.51422,-3.047348,0.46656513,1465622.0,2.6524067e-06,100.0,30,3,3,1.2246467991473532e-16,-1.0,0,0,-10394.681480000007,-10259.073430000008,-8868.600566999996,-9467.888876999996,-10259.464330000006
2023-03-30 13:00:00,273.2609,267.74615,-3.0184937,0.5594177,1331900.0,2.1904707e-06,100.0,30,3,3,-0.2588190451025208,-0.9659258262890683,0,0,-10327.721216000013,-10133.144647000021,-8710.876921999996,-9270.532014000008,-10187.773763000007
2023-03-30 14:00:00,273.1773,267.97314,-3.1753845,0.464571,1085196.0,1.5944242e-06,100.0,30,3,3,-0.4999999999999997,-0.8660254037844388,0,0,-10273.841550999989,-9925.291404000007,-8620.146852999984,-9236.247385000017,-10185.522736999985
2023-03-30 15:00:00,272.92154,268.3375,-3.5680084,0.26252556,828562.0,2.041459e-06,100.0,30,3,3,-0.7071067811865471,-0.7071067811865479,0,0,-10260.547899000014,-9736.126484999999,-8586.651886000016,-9282.209649000008,-10162.611814
2023-03-30 16:00:00,272.59967,268.7838,-3.3115845,0.39516068,477180.0,7.56979e-06,100.0,30,3,3,-0.8660254037844385,-0.5000000000000004,0,0,-10459.753267000011,-9747.39398699999,-8607.393382000002,-9437.085675999988,-10294.042148000008
2023-03-30 17:00:00,272.1958,268.9845,-3.2078094,0.29432106,170396.0,4.723668e-06,100.0,30,3,3,-0.9659258262890683,-0.25881904510252063,0,0,-10422.63657700001,-9916.556682000011,-8962.451006000001,-9828.449442000012,-10279.841094999996
2023-03-30 18:00:00,271.9541,268.89722,-3.2694092,0.26614952,6524.0,4.5001507e-06,100.0,30,3,3,-1.0,-1.8369701987210297e-16,0,0,-10440.148611999994,-10152.269496000008,-9141.292082000005,-10149.394569999986,-10357.160403000005
2023-03-30 19:00:00,271.534,269.0895,-3.0260773,0.49473572,0.0,7.3313713e-06,100.0,30,3,3,-0.9659258262890684,0.2588190451025203,0,0,-10441.647917000002,-10264.251306000007,-9089.060884000002,-10089.447812999997,-10295.577348000003
2023-03-30 20:00:00,271.38037,269.01077,-2.9687347,0.4404297,0.0,8.2701445e-06,100.0,30,3,3,-0.8660254037844386,0.5000000000000001,0,0,-10078.710865999989,-9965.452383000005,-8794.41718400001,-9834.738622000013,-9918.994281999985
2023-03-30 21:00:00,271.41782,269.10638,-2.851593,0.33654785,0.0,1.3515353e-05,100.0,30,3,3,-0.7071067811865477,0.7071067811865474,0,0,-9671.023297000002,-9595.597640999997,-8424.989393,-9450.955205000007,-9456.159540999995
2023-03-30 22:00:00,271.58734,269.31406,-2.792099,-0.013046265,0.0,1.9311905e-05,100.0,30,3,3,-0.5000000000000004,0.8660254037844384,0,0,-9293.079087000011,-9156.348972000007,-7996.1331899999905,-8998.465838999986,-9081.688683999988
2023-03-30 23:00:00,271.6998,269.47534,-2.9357758,-0.56604004,0.0,2.8520823e-05,100.0,30,3,3,-0.25881904510252157,0.9659258262890681,0,0,-9068.09804400003,-9093.235677000004,-7544.1922640000175,-8537.470149,-8696.724594000003
2023-03-31 00:00:00,271.7135,269.5153,-3.0900574,-1.0258789,0.0,3.992021e-05,100.0,31,4,3,0.0,1.0,0,0,-8928.737394999996,-9039.657660000003,-7255.133638000027,-8317.208484000006,-8486.993729000005
2023-03-31 01:00:00,271.73718,269.499,-3.3263092,-1.2747955,0.0,5.6438148e-05,100.0,31,4,3,0.25881904510252074,0.9659258262890683,0,0,-8928.391209000001,-8993.904965000005,-7120.173628000013,-8139.968246999993,-8445.834492000004
2023-03-31 02:00:00,271.74005,269.41333,-3.5125122,-1.4792633,0.0,7.3090196e-05,100.0,31,4,3,0.49999999999999994,0.8660254037844387,0,0,-8953.120225000006,-9023.111137000009,-7041.797035999995,-8086.318493999999,-8369.768853000012
2023-03-31 03:00:00,271.73495,269.28354,-3.6815948,-1.6633606,0.0,8.331984e-05,100.0,31,4,3,0.7071067811865476,0.7071067811865476,0,0,-9125.504370000006,-9138.592783999993,-6989.573316000012,-8095.404277000006,-8505.377714999993
2023-03-31 04:00:00,271.75293,269.16565,-3.8197784,-1.8452301,0.0,8.735061e-05,100.0,31,4,3,0.8660254037844386,0.5000000000000001,0,0,-9544.705703000009,-9479.073195999994,-7016.853152000005,-8222.467765000012,-8903.284986000013
2023-03-31 05:00:00,271.77414,269.0725,-3.9666443,-1.9971161,16616.0,8.288026e-05,100.0,31,4,3,0.9659258262890683,0.25881904510252074,0,0,-10463.198628000016,-10225.694778000008,-7330.7820090000005,-8609.191173000007,-9753.840661000006
2023-03-31 06:00:00,272.01846,269.0497,-4.211212,-2.1351929,166030.0,7.700175e-05,100.0,31,4,3,1.0,6.123233995736766e-17,0,0,-11182.661523000004,-10908.439606000009,-8091.395360000004,-9423.294294000001,-10469.784118999996
2023-03-31 07:00:00,272.1609,269.05408,-4.030411,-2.3941803,398892.0,4.0471554e-05,100.0,31,4,3,0.9659258262890683,-0.25881904510252063,0,0,-11223.441146000006,-10986.50821700002,-8883.409118000001,-10169.653702999993,-10673.986381000019
2023-03-31 08:00:00,272.5255,268.74597,-4.946533,-2.5796356,627124.0,4.3086708e-05,100.0,31,4,3,0.8660254037844387,-0.4999999999999998,0,0,-10964.877197000022,-10886.87885500003,-9170.115238999993,-10414.257722000008,-10593.454955000008
2023-03-31 09:00:00,272.57098,268.5639,-4.2775726,-2.7947998,790992.0,3.312528e-05,100.0,31,4,3,0.7071067811865476,-0.7071067811865475,0,0,-10708.149794999996,-10760.570481999994,-9220.694164000011,-10374.964624,-10498.257038000016
2023-03-31 10:00:00,272.66376,268.12598,-4.0162964,-3.087616,1057662.0,1.7210841e-05,100.0,31,4,3,0.49999999999999994,-0.8660254037844387,0,0,-10498.349210000006,-10655.479926000004,-9235.391377000004,-10316.175118000014,-10314.629343000011
2023-03-31 11:00:00,272.67462,267.51202,-3.7870636,-3.3170013,1051914.0,5.438924e-06,100.0,31,4,3,0.258819045102521,-0.9659258262890682,0,0,-10387.148407,-10544.720968000012,-9228.517681999998,-10202.510047000003,-10126.484868000016
2023-03-31 12:00:00,272.57922,266.78552,-3.625183,-3.4442291,914098.0,7.599592e-07,100.0,31,4,3,1.2246467991473532e-16,-1.0,0,0,-10259.464330000006,-10394.681480000007,-9176.906899000021,-10115.106659,-9847.391567000006
2023-03-31 13:00:00,272.68994,266.1787,-3.5411377,-3.4837952,1163066.0,0.0,100.0,31,4,3,-0.2588190451025208,-0.9659258262890683,0,0,-10187.773763000007,-10327.721216000013,-9093.645943000027,-9950.179222000002,-9650.761293
2023-03-31 14:00:00,272.69525,265.82898,-3.4215698,-3.4783325,1156580.0,0.0,100.0,31,4,3,-0.4999999999999997,-0.8660254037844388,0,0,-10185.522736999985,-10273.841550999989,-9010.421098000012,-9889.594728999995,-9475.774702000015
2023-03-31 15:00:00,272.43652,265.98016,-3.147171,-3.3425598,814950.0,0.0,100.0,31,4,3,-0.7071067811865471,-0.7071067811865479,0,0,-10162.611814,-10260.547899000014,-8934.96435200001,-9838.34305900001,-9404.201938000015
